127.0.0.1 - - [06/Apr/2020:13:15:53 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:25 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:25 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:25 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:26 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:26 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:26 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:26 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:26 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:28 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:29:26 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24497
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:29:26 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:29:26 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24497
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:29:27 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:29:27 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24497
